"Seasonal influenza vaccine uptake among frontline healthcare workers in England 2023 to 2024: staff groups, influenza vaccinations (trusts)",,,,,,,,,,,,,,,,,,
Final end of season data for February 2024: cumulative data from 1 September 2023 to 29 February 2024,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
"Note 1: This data should be interpreted with caution as some organisations have only entered vaccination data for one of the programmes, or one aspect of the programmes, therefore each section has its own response summary.",,,,,,,,,,,,,,,,,,
Note 2: The national figures are provisional and may vary slightly following further data validation checks.,,,,,,,,,,,,,,,,,,
"Note 3: Data provided is from acute, ambulance, care, community, foundation, mental health trusts and independent sector healthcare providers (ISHCPs).",,,,,,,,,,,,,,,,,,
Note 4: This data is cumulative covering vaccinations administered from 1 September 2023 to 29 February 2024 inclusive for flu vaccinations.,,,,,,,,,,,,,,,,,,
"Note 5: Since the 1 September 2021, COVID-19 and seasonal flu vaccine uptake in frontline HCWs have been reported alongside each other in this report. For COVID-19 vaccine uptake in frontline HCWs from 8 December 2020 to 31 August 2021 please see the reports on GOV.UK at: https://www.gov.uk/government/publications/covid-19-vaccine-uptake-in-healthcare-workers",,,,,,,,,,,,,,,,,,
"Note 6: For definitions on the key differences between the data on vaccine uptake in healthcare workers from NHSE and UKHSA, please see the COVID-19 vaccine uptake in healthcare workers: explainer document on GOV.UK at: https://www.gov.uk/government/publications/covid-19-vaccine-uptake-in-healthcare-workers/covid-19-vaccine-uptake-in-healthcare-workers-explainer ",,,,,,,,,,,,,,,,,,
"Note 7: DNE Organisation ""Do/Did not exist""",,,,,,,,,,,,,,,,,,
Note 8: ---* Three dashes and an asterisk indicates that organisations responded but no data was inputted or available,,,,,,,,,,,,,,,,,,
Note 9:  – A dash indicates that an organisation is a 'Non-Responder'.,,,,,,,,,,,,,,,,,,
Note 10: ** Two asterisks indicates that numbers fewer than 5 are suppressed.,,,,,,,,,,,,,,,,,,
Data source: UKHSA ImmForm reporting website. Data is submitted by NHS Trusts.,,,,,,,,,,,,,,,,,,
"Influenza vaccine uptake monitoring programme, UK Health Security Agency (UKHSA)",,,,,,,,,,,,,,,,,,
Table 5: Influenza vaccination by staff group,,,,,,,,,,,,,,,,,,
Region code,Region,Org code,Trust name,"All frontline HCWs:
involved with direct patient care (n)","All frontline HCWs:
vaccinated (n)","All frontline HCWs:
percentage vaccine uptake","All doctors:
involved with direct patient care (n)","All doctors:
vaccinated (n)","All doctors:
percentage vaccine uptake","Qualified nurses  (including GP practice nurses):
involved with direct patient care (n)","Qualified nurses  (including GP practice nurses):
vaccinated (n)","Qualified nurses  (including GP practice nurses):
Percentage vaccine uptake","All other professionally qualified clinical staff:
involved with direct patient care (n)","All other professionally qualified clinical staff:
vaccinated (n)","All other professionally qualified clinical staff:
percentage vaccine uptake","All support staff:
involved with direct patient care (n)","All support staff:
vaccinated (n)","All support staff:
percentage vaccine uptake"
Y61,East of England Commissioning Region,RC9,Bedfordshire Hospitals NHS Foundation Trust,"7,911","4,077",51.5,"1,506",856,56.8,"2,839","1,585",55.8,"1,025",564,55.0,"2,541","1,072",42.2
Y61,East of England Commissioning Region,RGT,Cambridge University Hospitals NHS Foundation Trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Y61,East of England Commissioning Region,RT1,Cambridgeshire And Peterborough NHS Foundation Trust,"4,529","1,302",28.7,209,65,31.1,"1,210",370,30.6,"1,021",347,34.0,"2,089",520,24.9
Y61,East of England Commissioning Region,RYV,Cambridgeshire Community Services NHS Trust,"2,000","1,109",55.5,108,67,62.0,815,438,53.7,438,272,62.1,639,332,52.0
Y61,East of England Commissioning Region,RWH,East And North Hertfordshire NHS Trust,"5,250","1,685",32.1,"1,010",326,32.3,"2,015",749,37.2,785,241,30.7,"1,440",369,25.6
Y61,East of England Commissioning Region,NAX,East Coast Community Healthcare C.I.C,450,370,82.2,1,1,100.0,161,146,90.7,122,83,68.0,166,140,84.3
Y61,East of England Commissioning Region,RYC,East Of England Ambulance Service NHS Trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Y61,East of England Commissioning Region,RDE,East Suffolk And North Essex NHS Foundation Trust,"7,690","2,431",31.6,"1,234",380,30.8,"3,347","1,097",32.8,840,348,41.4,"2,269",606,26.7
